number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
235a,235,6/28/20,"Wilcox, Teresa; Hirshkowitz, Amy; Hawkins, Laura; Boas, David A.",The effect of color priming on infant brain and behavior,NeuroImage,2014,"D, B, I (color individuation)",D,Color individuation as object motion predictors,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,C,lab,awake,"Trial design (30s each for pretest, 20s each for test) consisting of live movement of objects on a stage - experimenter wearing a black glove manipulated red and green containers, trials separated by 10s silent ITI, infants randomly assigned to motion or function condition for 4 pretest/color priming trials and then tested on the same 4 test trials regardless of condition, infants in the second study saw only the test trials and the containers were either red and green or the same color","B,C,D",A,4,4,20,20,Not reported ,Not reported ,80,9:01 (study 1),9.03,8 to 9 (study 1 - 8:01 to 9:28),8.03 to 9.93,non-newborn,22,0.564102564,None,full-term,td,Not reported ,TechEn,Not reported,8,9,53,0,9,5,0,"39 (21 in function condition, 18 in motion condition)",39,1,1,0.264150943,NA,0.169811321,0.094339623
235b,235,6/28/20,"Wilcox, Teresa; Hirshkowitz, Amy; Hawkins, Laura; Boas, David A.",The effect of color priming on infant brain and behavior,NeuroImage,2014,"D, B, I (color individuation)",D,Color individuation as object motion predictors,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,C,lab,awake,"Trial design (30s each for pretest, 20s each for test) consisting of live movement of objects on a stage - experimenter wearing a black glove manipulated red and green containers, trials separated by 10s silent ITI, infants randomly assigned to motion or function condition for 4 pretest/color priming trials and then tested on the same 4 test trials regardless of condition, infants in the second study saw only the test trials and the containers were either red and green or the same color","B,C,D",A,4,4,20,20,Not reported ,Not reported ,80,9:12 (study 2),9.4,8 to 9 (study 2 - 8:21 to 9:28),8.70 to 9.93,non-newborn,14,0.411764706,None,full-term,td,Not reported ,TechEn,Not reported,8,9,50,0,10,6,0,34 (17 in each color condition),34,1,1,0.32,NA,0.2,0.12
236a,236,6/28/20,"Wilcox, Teresa; Stubbs, Jessica; Hirshkowitz, Amy; Boas, David A.",Functional activation of the infant cortex during object processing,NeuroImage,2012,D,D,Cortical responses to featural changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,"C,D",lab,awake,"Trial design (20s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1 included 3 conditions involving featural changes after the object emerged on the other side of the box (shape difference, color difference, control - no difference)","B,C,D",A,4,4,20,20,Not reported ,Not reported ,80,5:08 (study 1),5.27,3 to 5 (study 1 - 3:08 to 5:29),3.27 to 5.97,non-newborn,22,0.392857143,None,full-term,td,Not reported ,TechEn,Not reported,8,9,70,1,7,6,0,"56 (19 in shape condition, 19 in color condition, 18 in control condition)",56,1,1,0.2,0.014285714,0.1,0.085714286
236b,236,6/28/20,"Wilcox, Teresa; Stubbs, Jessica; Hirshkowitz, Amy; Boas, David A.",Functional activation of the infant cortex during object processing,NeuroImage,2012,D,D,Cortical responses to featural changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,"C,D",lab,awake,"Trial design (20s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1 included 3 conditions involving featural changes after the object emerged on the other side of the box (shape difference, color difference, control - no difference)","B,C,D",A,4,4,20,20,Not reported ,Not reported ,80,11:21 (study 2),11.7,11 to 12 (study 2 - 11:06 to 12:26),11.20 to 12.87,non-newborn,14,0.254545455,None,full-term,td,Not reported ,TechEn,Not reported,8,9,78,4,16,3,0,"55 (18 in shape condition, 19 in color condition, 18 in control condition)",55,1,1,0.294871795,0.051282051,0.205128205,0.038461538
238a,238,6/29/20,"Wruck, Eric Michael",Applying near-infrared spectroscopy (NIRS) to the study of speech perception in infants,,2005,"C,E",C,Neural mechanisms of speech perception in infants,A,A,"B,C",AV,moving,"D,F",B,A,lab,awake,"Sequence of 10s silence/black screen + 20s silence/visual animation + 10s silence/black screen + 20s speech/visual animation, repeared 5 times, speech stimuli included IDS of children's stories, visual animation consisted of moving shapes (study 1)","C,D",A,5 per experiment,NA,20,20,Not reported ,Not reported ,NA,7:17 (study 1),7.57,"6 to 9 (study 1 - 6:07 to 9:14), 4 to 10 (study 2 - 4:12 to 10:04)",6.23 to 9.47,non-newborn,8,0.444444444,None,full-term,td,Not reported ,Not reported ,Not reported,4,NA,48,30,0,0,0,18,18,1,1,0.625,0.625,NA,NA
238b,238,6/29/20,"Wruck, Eric Michael",Applying near-infrared spectroscopy (NIRS) to the study of speech perception in infants,,2005,"C,E",C,Neural mechanisms of speech perception in infants,A,A,"B,C",AV,moving,"A,D",B,A,lab,awake,"Sequence of 10s silence/black screen + 20s silence/visual animation + 10s silence/black screen + 20s speech/visual animation, repeared 5 times, speech stimuli included IDS of children's stories, visual animation consisted of images of speaker's face (study 2)","C,D",A,5 per experiment,NA,20,20,Not reported ,Not reported ,NA,7:13 (study 2),7.43,"6 to 9 (study 1 - 6:07 to 9:14), 4 to 10 (study 2 - 4:12 to 10:04)",4.40 to 10.13,non-newborn,2,0.181818182,None,full-term,td,Not reported ,Not reported ,Not reported,4,NA,35,24,0,0,0,11,11,1,1,0.685714286,0.685714286,NA,NA
239,239,6/29/20,"Xu, M.; Hoshino, E.; Yatabe, K.; Matsuda, S.; Sato, H.; Maki, A.; Yoshimura, M.; Minagawa, Y.",Prefrontal function engaging in external-focused attention in 5- to 6-month-old infants: A suggestion for default mode network,Frontiers in Human Neuroscience,2017,F,F,PFC responses to social vs. non-social signals,"A,C",A,B,V,moving,"A,E",A,A,lab,awake,"Trial design (10s each) in 3 conditions (peek-a-boo by anime character, peek-a-boo by human, hand movements without social significance), 7 trials per condition, separated by 10-18s baseline",A,A,21,21,10,10,At least 9 (3 per condition),At least 90,210,173.2 days,5.77,5 to 6 (150 to 196 days),5.00 to 6.53,non-newborn,10,0.526315789,Japanese,full-term,td,"full-term, no history of serious diseases or disorders",Hitachi,ETG 7000,7,22,28,NA,Not reported ,Not reported ,0,19,19,1,0,0.321428571,NA,NA,NA
240,240,6/29/20,"Yamashita, Wakayo; Kanazawa, So; Yamaguchi, Masami K.; Kakigi, Ryusuke",The effect of gaze direction on three-dimensional face recognition in infant brain activity,NeuroReport: For Rapid Communication of Neuroscience Research,2012,F,F,The effect of direct gaze on 3D facial recognition,A,A,B,V,moving,A,B,A,lab,awake,"Alternating trial design - test periods with faces as visual stimuli (7.6s each) and baseline periods with shoes as visual stimuli (at least 10s each), test trials included 2 conditions (averted gaze or direct gaze), infants watched the stimuli for as long as they were willing",D,A,Infinte ,NA,7.6,7.6,7.8 (3.7 averted gaze trials + 4.1 direct gaze trials),59.28,NA,238 days ,7.93,8 (277 to 254 days),9.23 to 8.47,non-newborn,7,0.636363636,Japanese,full-term,td,healthy,Hitachi,ETG 4000,8,24,25,14,0,0,0,11,11,1,1,0.56,0.56,NA,NA
241,241,6/29/20,"Yang, J.; Asano, M.; Kanazawa, S.; Yamaguchi, M. K.; Imai, M.",Sound symbolism processing is lateralized to the right temporal region in the prelinguistic infant brain,Scientific Reports,2019,"E,C",E,Temporal cortex responses to sound-symbolic correspondences in prelinguistic infants,A,A,"A,C",AV,static,"D,F",A,"A,C",lab,awake,"Alternating trial design - test trials with spiky or rounded shapes as visual stimuli presented along with a nonsense word (6s each) and silent baseline trials with neutral shapes as visual stimuli (at least 10s each), test trials included 2 conditions (match or mismatch between visual and auditory stimuli), infants tested in one of two auditory conditions (""kipi"" or ""moma"" as nonsense words) and watched as long as they were willing",D,A,Infinte ,NA,6,6,At least 6 (3 per match condition),At least 36,NA,353 days ,11.77,11 (336 to 386 days),11.2 to 12.87,non-newborn,12,0.545454545,Japanese,full-term,td,"healthy, fullterm",Hitachi,ETG 4000,8,24,42,20,0,0,0,22,22,1,1,0.476190476,0.476190476,NA,NA
242,242,6/29/20,"Yang, J.; Kanazawa, S.; Yamaguchi, M. K.; Kuriki, I.",Cortical response to categorical color perception in infants investigated by near-infrared spectroscopy,Proceedings of the National Academy of Sciences of the United States of America,2016,"D, I (categorical color perception)",D,Occipitotemporal responses to categorical vs. non-categorical color differences in prelinguistic infants,"A,B",A,A,V,static,"F, I (color)",B,"A,C",lab,awake,"NIRS: 10s trial of alternating colors on figure shapes (10s baseline) Behavioral: 2 10s trials of smiling face pattern in pre-test phase, 6 5s trials in familiarization, 2 10s trials in postest phase.","C,D",A,Infinte ,NA,10,10,7.5 (3.7 within-category trials + 3.8 between-category trials),75,NA,182.3 days,6.08,5 to 7 (154 to 226 days),5.13 to 7.53,non-newborn,14,0.583333333,Japanese,full-term,td,"healthy, fullterm",Hitachi,ETG 4000,8,24,42,18,0,0,0,"24 (12 with OT recordings, 12 with occipital only recordings)",24,1,1,0.428571429,0.428571429,NA,NA
243,243,6/29/20,"Zaramella, P.; Freato, F.; Amigoni, A.; Salvadori, S.; Marangoni, P.; Suppiej, A.; Schiavo, B.; Chiandetti, L.",Brain auditory activation measured by near-infrared spectroscopy (NIRS) in neonates,Pediatr Res,2001,C,C,Hemodynamic changes during sound stimulation in newborn infants,A,A,C,A,,G,C,A,hospital,sleeping,"Newborns tested during sleeping and/or waking state, audiometruc sound stimulation with tonal sweep was presented for a median duration of 40s, baseline periods preceded (median 280s) and followed (median 185s) auditory stimulation",D,A,1,1,Not reported ,NA,1,10 mins 25 s,NA,15 days,0.5,1 to 49 days,Newborn,newborn,Not reported ,NA,Italian ,mixed,mixed,"28 to 41 weeks gestation, in good condition, mostly normal cranial ultrasound (except one infant with subependymal hemorrhage)",Hamamatsu,NIRO 330,NA,NA,Not reported ,NA,Not reported ,Not reported ,Not reported ,19,19,0,0,NA,NA,NA,NA
245a,245,6/29/20,"Zhang, Dandan; Chen, Yu; Hou, Xinlin; Wu, Yan Jing",Near-infrared spectroscopy reveals neural perception of vocal emotions in human neonates,Human Brain Mapping,2019,"F,C",F,Newborn infants' cortical responses to affective prosody in native vs. non-native speech,A,A,C,A,,D,B,"A,C",hospital,sleeping,"Newborns tested while lying in their cribs (either awake or in natural active sleep), exposed to 40 trials (15s each) of auditory stimuli consisting of psuedosentences spoken in 4 emotion conditions (fear, anger, happiness, neutral), trials separated by 14 to 16s baseline periods, half of the infants were assigned to the native language condition (Chinese) and half were assigned to the non-native language conditon (Portuguese)","A,B,D",A,40,40,15,15,Not reported ,Not reported ,600,1.9 days ,0.063333333,0 to 4 days ,Newborn,newborn,13,0.481481481,Chinese,full-term,td,"healthy, full-term, appropriate birthweight for GA, clinically asymptomatic at time of recording, no sedation in preceding 48 hours, normal hearing, Apgar score of at least 9 at 1min and 5min, normal neurologic follow-up at 6mo, no HIE, IVH, white matter damage, major congenital malformations, CNS infection, metabolic disorder, clinical evidence of seizures or evidence of asphyxia",NIRx,NIRScout 1624,16,48,30,3,0,0,0,27,27,1,1,0.1,0.1,NA,NA
245b,245,6/29/20,"Zhang, Dandan; Chen, Yu; Hou, Xinlin; Wu, Yan Jing",Near-infrared spectroscopy reveals neural perception of vocal emotions in human neonates,Human Brain Mapping,2019,"F,C",F,Newborn infants' cortical responses to affective prosody in native vs. non-native speech,A,A,C,A,,D,B,"A,C",hospital,sleeping,"Newborns tested while lying in their cribs (either awake or in natural active sleep), exposed to 40 trials (15s each) of auditory stimuli consisting of psuedosentences spoken in 4 emotion conditions (fear, anger, happiness, neutral), trials separated by 14 to 16s baseline periods, half of the infants were assigned to the native language condition (Chinese) and half were assigned to the non-native language conditon (Portuguese)","A,B,D",A,40,40,15,15,Not reported ,Not reported ,600,1.9 days ,0.063333333,0 to 4 days ,Newborn,newborn,13,0.541666667,Chinese,full-term,td,"healthy, full-term, appropriate birthweight for GA, clinically asymptomatic at time of recording, no sedation in preceding 48 hours, normal hearing, Apgar score of at least 9 at 1min and 5min, normal neurologic follow-up at 6mo, no HIE, IVH, white matter damage, major congenital malformations, CNS infection, metabolic disorder, clinical evidence of seizures or evidence of asphyxia",NIRx,NIRScout 1624,16,48,30,6,0,0,0,24,24,1,1,0.2,0.2,NA,NA
246,246,6/29/20,"Zhao, C.; Chronaki, G.; Schiessl, I.; Wan, M. W.; Abel, K. M.",Is infant neural sensitivity to vocal emotion associated with mother-infant relational experience?,PLoS ONE,2019,"F,C",F,Relationship between temporal cortex responses to emotional non-speech vocalizations and maternal interaction behavior,"A,B",A,C,A,,I (emotional non-speech vocalizations),B,"A,C",lab,awake,"24 trials (5s each) in 3 conditions (angry, happy, neutral), auditory stimuli consisted of adult non-speech vocalizations and were presented along with a silent cartoon video to maintain attention, trials separated by 10s baseline periods (presentation of blurred cartoon)",D,A,24,24,5,5,At least 12 (4 per condition),At least 60,120,189 days ,6.3,6 (175 to 214 days),5.83 to 7.13,non-newborn,15,0.517241379,UK,mixed,td,"healthy, mostly full-term, normal birthweight, no hearing difficulties, born to English-speaking mothers with no current mental disorder",UCL,Not reported,4,24,40,0,11,0,0,29,29,1,1,0.275,NA,0.275,NA
247,247,6/29/20,"Zimmermann, B. B.; Roche-Labarbe, N.; Surova, A.; Boas, D. A.; Wolf, M.; Grant, P. E.; Franceschini, M. A.",The confounding effect of systemic physiology on the hemodynamic response in newborns,Brain and Language,2012,I - Inversion of hemoglobin signals,I - Inversion of hemoglobin signals,Inversion of hemoglobin signals in neonatal fNIRS studies measuring functional or resting state activation,A,A,"C, F (baseline)",A,,"D, H (baseline) ",B,"A,B",hospital,awake,"Newborns tested longitudinally (mean: 3 recording sessions, range: 2-5), functional task included up to 60 trials (6s each) of repetitive syllables separated by silent periods of 6-16s, resting state/baseline recordings (8s each) were taken 3-5 times per session using a separated fNIRS system",D,A,"60 (functional), 5 (baseline)",65,"6 (functional), 8 (baseline) ",6.2,Not reported ,Not reported ,403,5.5 weeks,1.28,1 to 11 weeks,0.23 to 2.57,non-newborn,Not reported,NA,Preterm,preterm,td_risk,"preterm, Apgar score between 6 and 9 at 5min","TechEn (fNIRS), ISS (baseline measurements)","CW4 (functional), Not reported (baseline)",NA,NA,Not reported ,NA,Not reported ,Not reported,Not reported,6,6,0,0,NA,NA,NA,NA
